"set","file","type"
"EB04","EB04-002.jpg","character"
"EB04","EB04-004.jpg","character"
"EB04","EB04-006.jpg","character"
"EB04","EB04-007.jpg","character"
"EB04","EB04-009.jpg","event"
"EB04","EB04-010.jpg","stage"
"EB04","EB04-011.jpg","character"
"EB04","EB04-012.jpg","character"
"EB04","EB04-014.jpg","character"
"EB04","EB04-017.jpg","character"
"OP13","OP13-002.jpg","leader"
"OP13","OP13-003.jpg","leader"
"OP13","OP13-004.jpg","leader"
"OP13","OP13-005.jpg","character"
"OP13","OP13-006.jpg","character"
"OP13","OP13-009.jpg","character"
"OP13","OP13-012.jpg","character"
"OP13","OP13-016.jpg","character"
"OP13","OP13-017.jpg","character"
"OP13","OP13-020.jpg","event"
